image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11,gemini surprise score
abstract_35310.jpg,0.4411764740943908,66,3,0.8486044128923531,1.0,0.4612305164337158,0.2910476,0.055029296875,7.5,34.7,165.5,725.9,2966.3,10965.6,33128.0,48667.6,0.7618675,0.1668003,0.9863453,0.1394466,0.9335777,0.41841,0.04809245,0.1413932,0.474499,959,-0.84047,90.0
abstract_462135.jpg,0.073529414832592,13,1,0.8674845869170373,39.0,0.1680516302585601,0.20564637,0.0194634703196347,4.0,18.0,75.8,317.7,1350.1,4928.8,14112.8,20924.6,0.9475485,0.1011906,0.9749733,0.5082604,0.9693573,0.3918495,0.02654823,0.1080456,0.385892,405,2.20316,25.0
abstract_227654.jpg,0.3823529481887817,41,1,0.8009096585194717,5.0,0.3602553009986877,0.33436608,0.129546465095598,5.5,20.0,64.3,231.0,826.7,2614.0,6557.3,9403.0,0.7147305,0.4814624,0.8178966,0.134174,0.8233307,0.4844961,0.1622499,0.4168149,0.4691433,355,0.457328,10.0
abstract_109391.jpg,0.1617647111415863,21,1,0.8494764940196072,18.0,0.161758467555046,0.22910155,0.0198293689857527,7.6,31.2,131.2,608.0,2384.1,7107.5,15676.9,21565.7,0.8654551,0.2129339,0.975754,0.520699,0.9617442,0.4423077,0.02179819,0.2177135,0.1158466,1058,-0.826652,35.0
abstract_280205.jpg,0.5735294222831726,42,2,0.857056051465216,10.0,0.5191575884819031,0.3008916,0.2958538587848933,6.5,22.7,80.4,311.4,1202.1,4673.5,16223.8,31566.2,0.71777254,0.3414731,0.7626762,0.2913143,0.8598437,0.4451411,0.0628438,0.2953219,0.2711607,461,-1.16895,75.0
abstract_251849.jpg,0.6323529481887817,153,3,0.6543445083076631,51.0,0.5737489461898804,0.8573848,0.2182988556338028,5.7,15.6,47.4,175.6,758.3,3477.4,14293.0,27184.9,0.7133172,2.076632,0.8287218,0.1304355,0.7625639,0.4796238,0.1599325,0.4238079,0.1890859,236,-1.41102,65.0
abstract_98901.jpg,0.1764705926179886,13,1,0.9254160241853704,4.0,0.185394212603569,0.05929165,0.0191488583138173,2.0,6.0,15.9,51.7,205.9,874.4,3875.6,8566.9,0.92724425,0.02665171,0.9761268,0.4023761,0.9866741,0.4009434,0.007896663,0.1076491,0.2234754,56,1.29797,30.0
abstract_941763.jpg,0.6911764740943909,235,0,0.8220186661665028,102.0,0.5602837204933167,0.31274262,0.0634512711864406,8.0,59.8,369.1,1921.6,8271.8,28282.5,72295.2,110534.7,0.83775723,0.2104983,0.9582143,0.1450935,0.9368545,0.414966,0.04223093,0.2646554,0.9836043,2460,-1.42822,15.0
abstract_430221.jpg,0.2352941185235977,31,2,0.7338096534031595,61.0,0.3192034363746643,0.7783384,0.0865310354691075,2.0,4.0,8.0,16.0,32.0,63.6,126.7,252.3,0.8313085,0.6288143,0.9550402,0.1356019,0.8795404,0.4631336,0.07748856,0.2256543,0.0,16,1.20324,75.0
abstract_776316.jpg,0.3676470518112182,35,0,0.8519405809412827,51.0,0.3848440051078796,0.28603324,0.1303619384765625,7.0,44.6,260.4,1398.1,6368.0,18991.8,33743.2,39993.6,0.6979258,0.1115513,0.9556727,0.5796312,0.9765587,0.4039216,0.03343506,0.1596395,0.5702183,1835,-1.27665,65.0
abstract_706654.jpg,0.3382352888584137,23,6,0.8662832331114368,6.0,0.3716340959072113,0.22139926,0.0175680620608899,7.7,41.9,195.2,854.7,3229.0,9937.7,23655.5,32928.1,0.8597768,0.1768205,0.9788172,0.2366565,0.9494541,0.4292453,0.03805255,0.1687988,0.682798,1235,-1.27773,35.0
