image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
person_004838.jpg,0.6911764740943909,214,33,0.8445485678565722,34.0,0.649837076663971,0.31407925,0.0587572916666666,8.0,41.8,199.3,1018.5,4782.8,19884.2,70408.1,135418.6,25.0,0.75199455,0.3080259,0.9334791,0.124838,0.8790665,0.4393346,0.06046041,0.2606125,0.2587774,973,0.0633646
person_004633.jpg,0.7647058963775635,257,30,0.7559516559770033,18.0,0.7080824375152588,0.5170031,0.096046176046176,8.0,41.1,198.4,1000.5,4545.3,14880.1,32199.5,41806.9,78.0,0.79141325,0.7866973,0.9427205,0.09631502,0.8410362,0.4574468,0.08088504,0.2365624,0.3488855,1354,-1.35661
person_003031.jpg,0.6617646813392639,141,33,0.8356876695647285,47.0,0.655367910861969,0.38294363,0.1157924394641937,8.0,44.2,228.6,1254.0,6051.3,22455.9,57221.9,82926.7,78.0,0.7623163,0.3540863,0.9368253,0.161877,0.8876504,0.4487578,0.06830403,0.2141642,0.3840716,1567,-1.34502
person_005601.jpg,0.75,217,29,0.8190293577460593,37.0,0.7065824270248413,0.39395437,0.0829555457746478,8.0,35.8,161.0,754.0,3253.3,11873.3,31834.0,44617.3,15.0,0.7231434,0.3795323,0.9135987,0.1429022,0.870683,0.4575472,0.08390918,0.2111478,0.3188465,1002,-0.478083
person_016357.jpg,0.7352941036224365,248,32,0.7615623564925539,83.0,0.7219017148017883,0.5776017,0.1288628571428571,8.0,44.9,236.7,1220.7,5709.3,19667.4,43565.5,54262.9,78.0,0.8311378,0.5232809,0.9095667,0.0781744,0.8278397,0.4396552,0.1328229,0.2455105,0.4419738,1557,-1.10626
person_001587.jpg,0.7058823704719543,196,26,0.8583291251141034,9.0,0.6944772601127625,0.2927412,0.05603125,8.0,31.4,118.4,558.0,2753.8,12018.7,37505.7,54113.3,25.0,0.76456976,0.434174,0.9527719,0.1610421,0.9013422,0.4648829,0.05143125,0.1727708,0.4652388,704,-1.16338
person_018627.jpg,0.75,200,35,0.8379056660678726,53.0,0.7175150513648987,0.35310945,0.059264403292181,8.0,49.8,270.4,1362.7,5887.0,19694.0,48351.8,66566.3,35.0,0.74385893,0.3977335,0.9374231,0.1060735,0.8732623,0.4591078,0.06226595,0.200042,0.3580967,1799,-1.22474
person_004172.jpg,0.5441176295280457,178,25,0.8111664833211659,47.0,0.5520997047424316,0.37237546,0.0858676470588235,7.9,44.1,225.8,1102.6,4573.9,14043.2,31801.6,42928.3,35.0,0.7651472,0.312079,0.9331158,0.2123206,0.9232121,0.4408284,0.04228431,0.1766732,0.7837903,1467,-1.10276
person_004558.jpg,0.6176470518112183,300,53,0.7962159753641002,74.0,0.6234138607978821,0.4256482,0.0600993541977148,6.6,33.1,181.0,974.3,5038.3,19444.4,43711.5,55007.8,78.0,0.8830194,0.321842,0.9525737,0.1113954,0.8907421,0.4587912,0.07893691,0.2219043,0.6386065,1207,-0.415201
person_011640.jpg,0.6029411554336548,210,23,0.8413184750511773,41.0,0.6993116140365601,0.31130993,0.1142467570754717,6.9,30.9,147.6,712.7,3449.9,14359.8,39874.3,54495.9,35.0,0.7621276,0.2219417,0.9251032,0.2171486,0.9147393,0.4360189,0.06625147,0.1501278,0.5103356,909,-0.846573
person_003237.jpg,0.6764705777168274,115,22,0.776912570851796,68.0,0.6222482323646545,0.46668297,0.1115237691001697,8.0,40.2,195.8,903.3,3556.4,11498.7,29733.5,41111.1,35.0,0.7514687,0.326411,0.9731392,0.1620341,0.904801,0.3874345,0.05801677,0.1567201,0.2293896,1176,-1.44808
person_012391.jpg,0.779411792755127,263,32,0.7585776743969549,73.0,0.7504032850265503,0.61740935,0.1021090534979423,8.0,53.7,325.9,1664.8,6963.4,21884.4,47204.6,58426.3,35.0,0.7397923,0.4490054,0.955157,0.08731909,0.8572617,0.4301676,0.1127881,0.229393,0.5016449,2205,-0.616143
